id,host_id,neighbourhood_group,neighbourhood,room_type,price,last_review
2539,2787,Brooklyn,Kensington,Private room,149,19/10/2018
2595,2845,Manhattan,Midtown,Entire home/apt,225,21/05/2019
3647,4632,Manhattan,Harlem,Private room,150,
3831,4869,Brooklyn,Clinton Hill,Entire home/apt,89,05/07/2019
5022,7192,Manhattan,East Harlem,Entire home/apt,80,19/11/2018
5099,7322,Manhattan,Murray Hill,Entire home/apt,200,22/06/2019
5121,7356,Brooklyn,Bedford-Stuyvesant,Private room,60,05/10/2017
5178,8967,Manhattan,Hell's Kitchen,Private room,79,24/06/2019
5203,7490,Manhattan,Upper West Side,Private room,79,21/07/2017
5238,7549,Manhattan,Chinatown,Entire home/apt,150,09/06/2019
5295,7702,Manhattan,Upper West Side,Entire home/apt,135,22/06/2019
5441,7989,Manhattan,Hell's Kitchen,Private room,85,23/06/2019
5803,9744,Brooklyn,South Slope,Private room,89,24/06/2019
6021,11528,Manhattan,Upper West Side,Private room,85,05/07/2019
6090,11975,Manhattan,West Village,Entire home/apt,120,31/10/2018
6848,15991,Brooklyn,Williamsburg,Entire home/apt,140,29/06/2019
7097,17571,Brooklyn,Fort Greene,Entire home/apt,215,28/06/2019
7322,18946,Manhattan,Chelsea,Private room,140,01/07/2019
7726,20950,Brooklyn,Crown Heights,Entire home/apt,99,22/06/2019
7750,17985,Manhattan,East Harlem,Entire home/apt,190,
7801,21207,Brooklyn,Williamsburg,Entire home/apt,299,28/12/2011
8024,22486,Brooklyn,Park Slope,Private room,130,01/07/2019
8025,22486,Brooklyn,Park Slope,Private room,80,01/01/2019
8110,22486,Brooklyn,Park Slope,Private room,110,02/07/2019
8490,25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,19/06/2019
8505,25326,Brooklyn,Windsor Terrace,Private room,60,23/06/2019
8700,26394,Manhattan,Inwood,Private room,80,
9357,30193,Manhattan,Hell's Kitchen,Entire home/apt,150,13/08/2017
9518,31374,Manhattan,Inwood,Private room,44,15/06/2019
9657,21904,Manhattan,East Village,Entire home/apt,180,19/04/2019
9668,32294,Manhattan,Harlem,Private room,50,01/06/2019
9704,32045,Manhattan,Harlem,Private room,52,14/06/2019
9782,32169,Brooklyn,Greenpoint,Private room,55,15/06/2019
9783,32294,Manhattan,Harlem,Private room,50,01/07/2019
10452,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,12/05/2019
10962,9744,Brooklyn,South Slope,Private room,89,21/06/2019
11452,7355,Brooklyn,Bedford-Stuyvesant,Private room,35,
11708,44145,Brooklyn,Bushwick,Entire home/apt,85,22/06/2019
11943,45445,Brooklyn,Flatbush,Private room,150,
12048,7549,Manhattan,Lower East Side,Shared room,40,05/07/2019
12192,46978,Manhattan,East Village,Private room,68,21/06/2019
12299,47610,Brooklyn,South Slope,Entire home/apt,120,27/05/2019
12303,47618,Brooklyn,Fort Greene,Private room,120,30/09/2018
12318,16800,Manhattan,Upper West Side,Private room,135,16/06/2019
12343,47727,Manhattan,Harlem,Entire home/apt,150,13/06/2019
12627,49670,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,05/06/2019
12937,50124,Queens,Long Island City,Private room,130,01/07/2019
