Algorithm   Array size,Time (ms)
Algorithm A 10,-----104
Algorithm B 10,27.0259
Algorithm A 10,-----103
Algorithm B 10,26.0259
Algorithm A 10,-----101
Algorithm B 10,24.0259
Algorithm A 10,-----105
Algorithm B 10,28.0259
Algorithm A 10,-----101
Algorithm B 10,24.0259
Algorithm A 20,-----410
Algorithm B 20,69.9146
Algorithm A 20,-----408
Algorithm B 20,67.9146
Algorithm A 20,-----408
Algorithm B 20,67.9146
Algorithm A 20,-----403
Algorithm B 20,62.9146
Algorithm A 20,-----401
Algorithm B 20,60.9146
Algorithm A 30,-----900
Algorithm B 30,102.0359
Algorithm A 30,-----901
Algorithm B 30,103.0359
Algorithm A 30,-----906
Algorithm B 30,108.0359
Algorithm A 30,-----909
Algorithm B 30,111.0359
Algorithm A 30,-----905
Algorithm B 30,107.0359
Algorithm A 40,-----1603
Algorithm B 40,150.5552
Algorithm A 40,-----1606
Algorithm B 40,153.5552
Algorithm A 40,-----1604
Algorithm B 40,151.5552
Algorithm A 40,-----1604
Algorithm B 40,151.5552
Algorithm A 40,-----1607
Algorithm B 40,154.5552
Algorithm A 50,-----2504
Algorithm B 50,199.6012
Algorithm A 50,-----2503
Algorithm B 50,198.6012
Algorithm A 50,-----2510
Algorithm B 50,205.6012
Algorithm A 50,-----2502
Algorithm B 50,197.6012
Algorithm A 50,-----2507
Algorithm B 50,202.6012
Algorithm A 60,-----3600
Algorithm B 60,245.6607
Algorithm A 60,-----3606
Algorithm B 60,251.6607
Algorithm A 60,-----3607
Algorithm B 60,252.6607
Algorithm A 60,-----3602
Algorithm B 60,247.6607
Algorithm A 60,-----3600
Algorithm B 60,245.6607
Algorithm A 70,-----4902
Algorithm B 70,299.3947
Algorithm A 70,-----4905
Algorithm B 70,302.3947
Algorithm A 70,-----4906
Algorithm B 70,303.3947
Algorithm A 70,-----4904
Algorithm B 70,301.3947
Algorithm A 70,-----4900
Algorithm B 70,297.3947
Algorithm A 80,-----6407
Algorithm B 80,357.5621
Algorithm A 80,-----6410
Algorithm B 80,360.5621
Algorithm A 80,-----6400
Algorithm B 80,350.5621
Algorithm A 80,-----6405
Algorithm B 80,355.5621
Algorithm A 80,-----6401
Algorithm B 80,351.5621
Algorithm A 90,-----8105
Algorithm B 90,409.9829
Algorithm A 90,-----8105
Algorithm B 90,409.9829
Algorithm A 90,-----8101
Algorithm B 90,405.9829
Algorithm A 90,-----8104
Algorithm B 90,408.9829
Algorithm A 90,-----8106
Algorithm B 90,410.9829
Algorithm A 100,-----10005
Algorithm B 100,465.5170
Algorithm A 100,-----10007
Algorithm B 100,467.5170
Algorithm A 100,-----10003
Algorithm B 100,463.5170
Algorithm A 100,-----10004
Algorithm B 100,464.5170
Algorithm A 100,-----10002
Algorithm B 100,462.5170
